year,median,min,max,p10,p90
1950,0.000,0.000,0.000,0.000,0.000
1951,0.000,0.000,0.490,0.000,0.003
1952,0.000,0.000,0.003,0.000,0.003
1953,0.000,0.000,0.151,0.000,0.003
1954,0.000,0.000,0.007,0.000,0.000
1955,0.000,0.000,0.388,0.000,0.000
1956,0.000,0.000,0.445,0.000,0.003
1957,0.000,0.000,0.109,0.000,0.092
1958,0.000,0.000,0.381,0.000,0.007
1959,0.000,0.000,0.024,0.000,0.003
1960,0.000,0.000,0.493,0.000,0.003
1961,0.000,0.000,0.034,0.000,0.003
1962,0.000,0.000,0.799,0.000,0.007
1963,0.000,0.000,0.014,0.000,0.003
1964,0.000,0.000,0.577,0.000,0.099
1965,0.000,0.000,0.354,0.000,0.007
1966,0.000,0.000,0.243,0.000,0.000
1967,0.000,0.000,0.003,0.000,0.000
1968,0.000,0.000,0.102,0.000,0.003
1969,0.000,0.000,0.109,0.000,0.000
1970,0.000,0.000,0.099,0.000,0.003
1971,0.000,0.000,0.626,0.000,0.003
1972,0.000,0.000,0.000,0.000,0.000
1973,0.000,0.000,0.007,0.000,0.003
1974,0.000,0.000,0.292,0.000,0.003
1975,0.000,0.000,0.020,0.000,0.003
1976,0.000,0.000,0.003,0.000,0.003
1977,0.000,0.000,0.051,0.000,0.007
1978,0.000,0.000,0.004,0.000,0.003
1979,0.000,0.000,0.208,0.000,0.003
1980,0.000,0.000,0.586,0.000,0.000
1981,0.000,0.000,0.099,0.000,0.007
1982,0.000,0.000,0.003,0.000,0.000
1983,0.000,0.000,0.003,0.000,0.000
1984,0.000,0.000,0.007,0.000,0.000
1985,0.000,0.000,0.003,0.000,0.000
1986,0.000,0.000,0.304,0.000,0.020
1987,0.000,0.000,0.419,0.000,0.106
1988,0.000,0.000,0.918,0.000,0.003
1989,0.000,0.000,0.345,0.000,0.003
1990,0.000,0.000,0.568,0.000,0.007
1991,0.000,0.000,0.116,0.000,0.017
1992,0.000,0.000,0.003,0.000,0.000
1993,0.000,0.000,0.003,0.000,0.003
1994,0.000,0.000,0.750,0.000,0.010
1995,0.000,0.000,0.364,0.000,0.004
1996,0.000,0.000,0.092,0.000,0.000
1997,0.000,0.000,1.864,0.000,0.003
1998,0.000,0.000,0.020,0.000,0.003
1999,0.000,0.000,2.220,0.000,0.027
2000,0.000,0.000,2.832,0.000,0.262
2001,0.000,0.000,0.276,0.000,0.020
2002,0.000,0.000,0.907,0.000,0.007
2003,0.000,0.000,0.551,0.000,0.027
2004,0.000,0.000,1.615,0.000,0.109
