year,cooling_degree_day
1950,278.03885
1951,358.78806
1952,416.1501
1953,411.1096
1954,417.6647
1955,344.58466
1956,348.0167
1957,381.24432
1958,337.01215
1959,385.21936
1960,351.69778
1961,270.27026
1962,328.95236
1963,224.83624
1964,302.99197
1965,295.82224
1966,263.46982
1967,166.06642
1968,289.82184
1969,321.5353
1970,367.72086
1971,326.26868
1972,232.26985
1973,334.95276
1974,238.3972
1975,320.47638
1976,213.82707
1977,391.12912
1978,373.77023
1979,256.4015
1980,421.85956
1981,335.7887
1982,299.67282
1983,334.6195
1984,288.2889
1985,328.16522
1986,438.3539
1987,426.64594
1988,363.32288
1989,327.6952
1990,358.0322
1991,401.97806
1992,261.0983
1993,436.63925
1994,290.66907
1995,357.6629
1996,330.9483
1997,280.67288
1998,507.49936
1999,373.40402
2000,354.71548
2001,323.42285
2002,462.73026
2003,315.78796
2004,345.0323
2005,397.2751
2006,385.20782
