year,days_prcp_abv
1950,9.054603
1951,4.9249806
1952,8.134505
1953,6.256084
1954,10.506553
1955,5.743241
1956,7.991546
1957,13.509773
1958,8.566799
1959,10.173203
1960,8.100629
1961,13.842198
1962,9.714034
1963,7.9012723
1964,15.299024
1965,8.619144
1966,9.835422
1967,12.957367
1968,6.1874976
1969,8.415271
1970,5.2924385
1971,5.1518655
1972,7.700896
1973,12.700119
1974,9.023557
1975,12.923981
1976,10.690703
1977,12.052246
1978,9.8150625
1979,14.610435
1980,8.191606
1981,5.182209
1982,9.248835
1983,12.208888
1984,8.373664
1985,8.165444
1986,5.9379444
1987,8.155533
1988,5.556834
1989,13.951882
1990,14.569062
1991,8.3481045
1992,13.706092
1993,9.018012
1994,10.420487
1995,12.720132
1996,10.065091
1997,9.883109
1998,10.617734
1999,5.9022946
2000,7.3224993
2001,6.054236
2002,7.6608114
2003,13.737603
2004,11.347088
2005,11.587028
2006,11.421074
