year,days_tmin_blw
1950,104.0216
1951,113.76253
1952,117.34742
1953,105.86808
1954,118.206696
1955,112.038956
1956,98.892334
1957,89.64226
1958,109.84395
1959,108.215195
1960,125.56787
1961,95.70902
1962,110.472084
1963,116.708115
1964,115.44422
1965,107.50414
1966,117.65751
1967,110.84109
1968,123.96682
1969,125.737564
1970,108.8004
1971,104.484505
1972,100.03078
1973,97.79296
1974,93.34322
1975,102.03793
1976,120.48476
1977,103.83125
1978,116.22424
1979,113.87353
1980,116.05633
1981,126.0629
1982,102.68669
1983,124.609474
1984,100.90821
1985,93.90494
1986,92.02395
1987,106.28042
1988,110.04196
1989,94.30841
1990,67.58306
1991,81.392784
1992,95.979126
1993,103.787384
1994,83.32485
1995,96.615005
1996,107.45947
1997,92.29727
1998,76.7216
1999,89.33035
2000,103.90941
2001,94.949196
2002,104.73777
2003,97.304855
2004,97.64411
2005,102.20045
2006,95.19584
