year,heating_degree_day
1950,2559.684
1951,2730.5564
1952,2669.5876
1953,2518.417
1954,2673.8877
1955,2614.2144
1956,2522.859
1957,2478.48
1958,2910.56
1959,2559.467
1960,2954.4744
1961,2687.5417
1962,2700.3093
1963,2847.6438
1964,2705.252
1965,2567.7244
1966,2853.5615
1967,2684.9263
1968,2949.8389
1969,2936.7385
1970,2646.1765
1971,2515.9705
1972,2596.6194
1973,2478.457
1974,2353.047
1975,2406.5146
1976,2751.2305
1977,2694.4949
1978,2801.234
1979,2703.4683
1980,2805.7878
1981,2914.6885
1982,2539.9697
1983,2930.14
1984,2565.9382
1985,2506.2708
1986,2378.6025
1987,2596.82
1988,2793.6597
1989,2550.64
1990,2086.3733
1991,2318.5452
1992,2611.2224
1993,2662.476
1994,2469.483
1995,2621.4163
1996,2751.2942
1997,2681.9448
1998,2278.5818
1999,2367.1138
2000,2617.2324
2001,2426.8691
2002,2438.2444
2003,2554.3577
2004,2409.9907
2005,2523.8674
2006,2430.7043
