month,mean30,max,median,min,p10,p90
1,-5.025,3.445,-4.368,-10.147,-7.094,-0.916
2,-3.742,1.243,-2.752,-8.185,-5.689,-0.126
3,0.311,4.339,0.273,-6.020,-1.233,2.828
4,4.770,7.872,4.905,2.259,3.447,6.538
5,9.059,13.593,9.270,6.431,7.537,11.691
6,13.292,15.783,13.936,10.757,12.371,14.971
7,15.527,17.686,15.914,14.100,14.795,17.078
8,15.109,17.636,15.362,13.543,13.899,16.492
9,11.809,14.512,12.028,7.711,9.906,13.563
10,5.271,10.361,5.615,1.387,3.594,8.601
11,0.875,7.420,0.744,-3.540,-1.781,2.881
12,-3.137,1.545,-2.935,-7.353,-5.770,0.387
