month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,9.665,8.705,7.675,8.130,9.258,9.891,8.883,7.656,8.072,9.363,10.265,9.435,7.804,8.302,9.983,10.614,9.735,8.579,9.021,10.252,10.363,9.725,8.368,8.480,10.275,11.927,10.989,9.047,9.647,11.609
2,12.101,10.295,9.432,9.779,11.168,12.033,10.496,9.394,9.881,11.188,12.500,11.085,9.969,10.456,12.097,12.564,11.664,10.271,10.415,12.352,13.016,11.684,10.187,10.814,12.614,13.950,12.817,9.871,11.436,13.539
3,15.572,14.741,13.150,14.078,15.133,15.504,14.642,13.663,13.748,15.238,16.241,15.374,13.818,14.752,15.911,17.049,15.798,13.880,14.920,16.393,16.741,15.744,14.197,14.754,16.542,18.959,16.809,14.061,15.788,17.854
4,21.080,20.480,19.127,19.523,20.935,21.346,20.436,19.496,19.711,20.828,22.042,21.054,20.009,20.166,21.580,22.954,21.570,20.314,20.551,21.910,22.946,21.428,20.188,20.299,22.108,24.087,22.954,20.903,21.306,23.444
5,25.327,24.562,23.973,24.140,24.996,25.307,24.827,23.578,24.156,25.075,25.978,25.673,24.207,24.482,25.930,26.806,26.144,24.690,25.101,26.724,26.489,26.210,24.470,24.901,26.454,28.694,27.760,25.669,26.119,28.403
6,28.512,27.967,26.991,27.107,28.289,29.018,27.999,27.013,27.169,28.553,29.698,28.838,27.170,27.876,29.284,30.886,29.309,27.425,28.292,30.174,30.535,29.220,27.733,28.170,29.852,32.751,30.992,28.791,29.231,32.552
7,30.248,29.599,28.760,28.952,29.929,30.581,29.668,28.833,28.993,30.341,31.637,30.603,28.916,29.702,31.035,32.308,31.101,29.833,30.224,31.809,32.360,30.917,29.543,30.193,31.525,33.957,32.622,31.071,31.583,33.639
8,29.652,29.027,28.089,28.659,29.472,30.086,29.286,28.182,28.492,29.765,30.684,29.954,28.674,28.943,30.541,31.770,30.553,29.253,30.082,31.331,31.611,30.425,29.054,29.547,31.230,33.770,32.185,30.474,31.100,32.989
9,26.737,26.004,24.668,25.354,26.550,26.958,26.268,24.699,25.349,26.786,27.721,27.006,25.371,26.153,27.657,28.382,27.473,25.586,26.775,28.107,28.473,27.272,25.508,26.566,28.233,30.502,29.271,26.698,27.871,30.056
10,21.605,20.887,18.925,20.115,21.461,21.798,21.261,19.621,20.437,21.598,22.303,21.932,19.543,20.814,22.188,23.509,22.409,20.680,21.522,22.972,23.154,22.289,20.498,21.154,22.924,25.295,23.928,21.376,22.958,24.896
11,16.202,15.152,14.081,14.345,15.763,15.725,15.108,13.897,14.419,15.556,16.767,15.701,14.680,15.194,16.338,16.881,16.217,14.981,15.241,16.775,17.085,16.086,14.780,14.991,16.644,18.221,17.704,15.702,16.432,18.153
12,10.946,10.163,9.194,9.381,10.933,11.478,10.170,8.729,9.315,10.805,12.419,10.662,9.330,10.002,11.448,12.704,11.038,9.904,10.064,11.930,12.720,11.018,9.497,9.708,12.044,13.326,12.523,10.556,11.055,13.101
