id,name,lat,lon
8443970,"Boston, MA",42.36,-71.05
8454000,"Providence, RI",41.81,-71.4
8461490,"New London, CT",41.36,-72.09
8510560,"Montauk, NY",41.05,-71.96
8516945,"Kings Point, NY",40.81,-73.77
8518750,"Battery, NY",40.7,-74.02
8531680,"Sandy Hook, NJ",40.47,-74.01
8534720,"Atlantic City, NJ",39.36,-74.42
8545240,"Philadelphia, PA",39.93,-75.14
8557380,"Lewes, DE",38.78,-75.12
8574680,"Baltimore, MD",39.27,-76.58
8575512,"Annapolis, MD",38.98,-76.48
8594900,Washington D.C.,38.87,-77.02
8638610,"Sewell Point, VA",36.95,-76.33
8658120,"Wilmington, NC",34.23,-77.95
8665530,"Charleston, SC",32.78,-79.93
8670870,"Fort Pulaski, GA",32.04,-80.9
8720030,"Fernandina Beach, FL",30.67,-81.47
8720218,"Mayport, FL",30.4,-81.43
8724580,"Key West, FL",24.55,-81.81
8726430,"St Petersburg, FL",27.76,-82.63
8771341,"Galveston_Bay, TX",29.31,-94.79
8779770,"Port Isabel, TX",26.06,-97.22
9410230,"La Jolla, CA",32.87,-117.26
9414290,"San Francisco, CA",37.81,-122.47
9447130,"Seattle, WA",47.6,-122.34
1612340,"Honolulu, HI",21.31,-157.87
